z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar)
100336.50523337844,33.45832558039874,1590.458372153859,15.339922009838327,17.9844200524987,NaN,NaN,NaN,NaN
101274.26952333153,32.74203606516598,1585.2366397189062,15.011393237155419,17.599526756203186,NaN,NaN,NaN,NaN
102209.2240864936,32.04107600252587,1580.0285989884612,14.689901455830027,17.22286459934228,NaN,NaN,NaN,NaN
103141.36771034045,31.355122490133155,1574.8342611526837,14.375298153323884,16.854260481701633,NaN,NaN,NaN,NaN
104070.70616131791,30.683854259256186,1569.653598989183,14.067435591159793,16.49354215626313,NaN,NaN,NaN,NaN
104997.23831888085,30.026961760555917,1564.4866226984943,13.766171424343183,16.14054365513926,NaN,NaN,NaN,NaN
105920.98371949022,29.384127547232087,1559.3332291578865,13.47135970843315,15.795094744210962,NaN,NaN,NaN,NaN
106841.94120989511,28.755055493034217,1554.1934282117418,13.18286429109879,15.457036632547473,NaN,NaN,NaN,NaN
107760.1165318838,28.139450969860974,1549.0671917266652,12.900549727733162,15.126211313798093,NaN,NaN,NaN,NaN
108675.50862276387,27.53703009719406,1543.954528630714,12.62428551812814,14.802466541882469,NaN,NaN,NaN,NaN
109588.13682803737,26.947501751936723,1538.8553357508858,12.353937859415366,14.485646159937259,NaN,NaN,NaN,NaN
110498.00005193325,26.37059436357401,1533.7696217248936,12.089381927171464,14.175604507041434,NaN,NaN,NaN,NaN
111405.0972740058,25.806041896425146,1528.697394615059,11.830495451732077,13.872198880311773,NaN,NaN,NaN,NaN
112309.44769675728,25.253571527502128,1523.6385512908412,11.577153066671197,13.575282913610659,NaN,NaN,NaN,NaN
113211.05026642105,24.71292875731598,1518.5930995699584,11.329237818534146,13.284720078040968,NaN,NaN,NaN,NaN
114109.91067910823,24.183860373930422,1513.5610100392732,11.086633359240365,13.0003745218395,NaN,NaN,NaN,NaN
115006.02796927192,23.6661224021938,1508.5422897160572,10.849227587621469,12.722115346215986,NaN,NaN,NaN,NaN
115899.42114912512,23.159464642472475,1503.5368356250267,10.616905561846265,12.449808293583924,NaN,NaN,NaN,NaN
116790.08921952426,22.663653699188764,1498.5446545959376,10.389560054199377,12.183328129077893,NaN,NaN,NaN,NaN
117678.03784922823,22.17845735754956,1493.5657166465367,10.167084390812677,11.92255024013366,NaN,NaN,NaN,NaN
118563.26612605748,21.703651873602766,1488.6000278658512,9.949375791430082,11.66735455756788,NaN,NaN,NaN,NaN
119445.79287245966,21.23900779506834,1483.6474855376503,9.73632886963856,11.417617932966424,NaN,NaN,NaN,NaN
120325.61714243535,20.784311080275945,1478.708095615816,9.527845312436833,11.173225493460473,NaN,NaN,NaN,NaN
121202.73806289077,20.33935204990353,1473.7818635643725,9.323828816987373,10.93406470097161,NaN,NaN,NaN,NaN
122077.17431435244,19.903915675128786,1468.868686924215,9.1241806370946,10.70002013276981,NaN,NaN,NaN,NaN
122948.92498977215,19.477801369022252,1463.9685710604422,8.92880865467309,10.470984122125707,NaN,NaN,NaN,NaN
123817.99570823526,19.06080955945525,1459.0814852454046,8.7376212258639,10.246849538886746,NaN,NaN,NaN,NaN
124684.38564759324,18.652747954385404,1454.2074341975513,8.550530051586229,10.02751315910739,NaN,NaN,NaN,NaN
125548.11329975585,18.253419355867774,1449.3463158775314,8.367444591549095,9.81286911385481,NaN,NaN,NaN,NaN
126409.17780848267,17.8626398102824,1444.498134950058,8.188280383198752,9.60281864778782,NaN,NaN,NaN,NaN
127267.584763614,17.480226294659424,1439.6628603904994,8.012953398066507,9.397263498458255,NaN,NaN,NaN,NaN
128123.33339270212,17.10600246242749,1434.8404962653851,7.8413826744070585,9.196108986399915,NaN,NaN,NaN,NaN
128976.44199982066,16.73978746792561,1430.030941035925,7.673485194461486,8.999258007136852,NaN,NaN,NaN,NaN
129826.90977833918,16.381412611556065,1425.234198756181,7.509183513597343,8.806619980523811,NaN,NaN,NaN,NaN
130674.74228834527,16.030710047198824,1420.4502381889736,7.348400584587261,8.61810477911553,NaN,NaN,NaN,NaN
131519.94508241978,15.687515522078717,1415.6790280562766,7.191061012570184,8.433624202091991,NaN,NaN,NaN,NaN
132362.51119166528,15.351673250385184,1410.920606416415,7.037093289015663,8.253094595393911,NaN,NaN,NaN,NaN
133202.47121959657,15.02301592981406,1406.1748029942203,6.8864206314697505,8.076426108554985,NaN,NaN,NaN,NaN
134039.81814397764,14.701394691408234,1401.4416559750161,6.738974711063053,7.903538797072225,NaN,NaN,NaN,NaN
134874.55748712868,14.3866589027335,1396.7211339643266,6.59468639581824,7.734351763175287,NaN,NaN,NaN,NaN
135706.6947637532,14.07866115618005,1392.013205549446,6.4534880359499125,7.568785838839735,NaN,NaN,NaN,NaN
136536.23548091945,13.777257199923827,1387.3178393039377,6.315313432295731,7.40676354859434,NaN,NaN,NaN,NaN
137363.18513804395,13.482305870365495,1382.6350037917875,6.180097805155466,7.248209073390176,NaN,NaN,NaN,NaN
138187.54922687577,13.193669026016043,1377.9646675714644,6.047777763801896,7.0930482152387695,NaN,NaN,NaN,NaN
139009.32102660486,12.911215646356682,1373.3068671053995,5.918293185157135,6.941210600977675,NaN,NaN,NaN,NaN
139828.5304608451,12.634805025153478,1368.661434960781,5.791579509868743,6.792620646822852,NaN,NaN,NaN,NaN
140645.1707558182,12.364311959167873,1364.0284077902754,5.667579287608327,6.647211100889145,NaN,NaN,NaN,NaN
141459.24737247234,12.099609762024377,1359.4077541696277,5.54623439173243,6.504913910435882,NaN,NaN,NaN,NaN
142270.76576402868,11.840574459521218,1354.7994426880869,5.427487941530658,6.365662478120365,NaN,NaN,NaN,NaN
143079.73137597324,11.587084731566543,1350.20344195213,5.3112842756428025,6.22939163074975,NaN,NaN,NaN,NaN
143886.14964604945,11.33902185535779,1345.6197205890057,5.197568925880934,6.096037588864908,NaN,NaN,NaN,NaN
144690.01406553472,11.096273228060728,1341.0483138960892,5.086290231822388,5.965539860716428,NaN,NaN,NaN,NaN
145491.35397103862,10.858717922656602,1336.489057082346,4.97739271990211,5.837833476871399,NaN,NaN,NaN,NaN
146290.16280131557,10.626248335850567,1331.9419856819402,4.870827025825051,5.712860629000753,NaN,NaN,NaN,NaN
147086.4459630896,10.398755589696894,1327.4070684387816,4.766543203497142,5.590562821047114,NaN,NaN,NaN,NaN
147880.20885532326,10.176133137170533,1322.8842741338017,4.664492377214158,5.470882808162477,NaN,NaN,NaN,NaN
