z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar)
188288.5993708306,1.3121136755952936,1159.7976999216175,0.23858522216669403,1.0666449016136688,NaN,NaN,NaN,NaN
188855.48785265174,1.2843680045746324,1156.0419642024701,0.2335401660458157,1.0440898449041642,NaN,NaN,NaN,NaN
189420.63697117826,1.2572090374918266,1152.2959370686594,0.22860179189373833,1.0220117322237812,NaN,NaN,NaN,NaN
189984.0672856179,1.2306235843262447,1148.5594817285366,0.22376770129079568,1.0003998411681776,NaN,NaN,NaN,NaN
190545.7657763799,1.2046003179561255,1144.832679944394,0.21903583455770875,0.9792449637184667,NaN,NaN,NaN,NaN
191105.7445687826,1.1791269746953403,1141.1154498538335,0.21440396171935563,0.9585371305006138,NaN,NaN,NaN,NaN
191663.99909793845,1.1541923090417332,1137.407818353071,0.20987003794376813,0.9382671998398765,NaN,NaN,NaN,NaN
192220.54968732048,1.1297842102435725,1133.709650121346,0.20543186107058978,0.9184253266795743,NaN,NaN,NaN,NaN
192775.39997128118,1.1058915735710222,1130.020918594525,0.20108741187079707,0.8990024837758658,NaN,NaN,NaN,NaN
193328.53714973517,1.0825042175370145,1126.341704570244,0.19683483899324603,0.8799903944063361,NaN,NaN,NaN,NaN
193879.98137094505,1.0596107816851712,1122.6718738310947,0.19267207671329323,0.8613798234378268,NaN,NaN,NaN,NaN
194429.728084882,1.0372011794152347,1119.0114534401405,0.18859729093852437,0.8431625712782467,NaN,NaN,NaN,NaN
194977.7891104863,1.0152648690205899,1115.3603635530355,0.18460856482449306,0.8253300683687452,NaN,NaN,NaN,NaN
195524.1599340894,0.993792184689583,1111.7186311394685,0.18070414079576322,0.8078744571813592,NaN,NaN,NaN,NaN
196068.83613526679,0.9727736440864327,1108.0862827132235,0.17688229464014102,0.7907880293382206,NaN,NaN,NaN,NaN
196611.84563477235,0.952198732553225,1104.4631330853636,0.17314111443695307,0.7740622372635402,NaN,NaN,NaN,NaN
197153.18389821603,0.9320584026708663,1100.8492095043048,0.16947895506050203,0.7576897261280298,NaN,NaN,NaN,NaN
197692.85449619938,0.9123434878128482,1097.244486225965,0.16589414970964017,0.741663044195819,NaN,NaN,NaN,NaN
198230.85300534213,0.8930452988002363,1093.6489900062697,0.1623851184005648,0.7259751278565137,NaN,NaN,NaN,NaN
198767.20694313507,0.8741541980303428,1090.0625380732927,0.15895010869571077,0.7106181425053123,NaN,NaN,NaN,NaN
199301.88796196633,0.8556627115787557,1086.4853143210069,0.15558776158785623,0.6955860124343712,NaN,NaN,NaN,NaN
199834.93140287118,0.8375613193937652,1082.9170845721035,0.15229634601550426,0.6808709985971164,NaN,NaN,NaN,NaN
200366.30910335435,0.8198428589347933,1079.3580318370255,0.14907455959362986,0.6664672784137895,NaN,NaN,NaN,NaN
200896.07191851566,0.8024976961680276,1075.8078197365708,0.14592065053685832,0.6523670201775711,NaN,NaN,NaN,NaN
201424.17604647862,0.7855194996657452,1072.2667344073013,0.14283346758619808,0.6385650769353935,NaN,NaN,NaN,NaN
201950.6564053965,0.7688995263082752,1068.7345442011347,0.13981142095501858,0.6250543412219701,NaN,NaN,NaN,NaN
202475.51635820724,0.752630238721234,1065.2112250368655,0.13685314010422744,0.6118286857442593,NaN,NaN,NaN,NaN
202998.72820241793,0.7367051960056424,1061.6969577465607,0.1339574538699769,0.5988828745571004,NaN,NaN,NaN,NaN
